
2024/03/17 (19:40:46) | ===> btop++ v.1.3.2
2024/03/17 (19:40:46) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/17 (19:41:09) | ===> btop++ v.1.3.2
2024/03/17 (19:41:09) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/17 (19:47:01) | ===> btop++ v.1.3.2
2024/03/17 (19:47:01) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/17 (19:47:54) | ===> btop++ v.1.3.2
2024/03/17 (19:47:54) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/17 (19:48:31) | ===> btop++ v.1.3.2
2024/03/17 (19:48:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/17 (19:51:35) | ===> btop++ v.1.3.2
2024/03/17 (19:51:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/17 (21:19:16) | ===> btop++ v.1.3.2
2024/03/17 (21:19:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/18 (00:07:33) | ===> btop++ v.1.3.2
2024/03/18 (00:07:33) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/03/19 (01:25:58) | ===> btop++ v.1.3.2
2024/03/19 (01:25:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/19 (01:28:27) | ===> btop++ v.1.3.2
2024/03/19 (01:28:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/24 (22:33:27) | ===> btop++ v.1.3.2
2024/03/24 (22:33:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/03 (20:27:29) | ===> btop++ v.1.3.2
2024/04/03 (20:27:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/05 (19:30:08) | ===> btop++ v.1.3.2
2024/04/05 (19:30:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/06 (11:38:08) | ===> btop++ v.1.3.2
2024/04/06 (11:38:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/06 (11:56:24) | ===> btop++ v.1.3.2
2024/04/06 (11:56:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/07 (19:55:15) | ===> btop++ v.1.3.2
2024/04/07 (19:55:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/07 (22:07:56) | ===> btop++ v.1.3.2
2024/04/07 (22:07:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/10 (00:17:16) | ===> btop++ v.1.3.2
2024/04/10 (00:17:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/10 (14:22:52) | ===> btop++ v.1.3.2
2024/04/10 (14:22:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/15 (00:12:49) | ===> btop++ v.1.3.2
2024/04/15 (00:12:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/18 (01:06:46) | ===> btop++ v.1.3.2
2024/04/18 (01:06:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/19 (23:46:52) | ===> btop++ v.1.3.2
2024/04/19 (23:46:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/21 (18:03:15) | ===> btop++ v.1.3.2
2024/04/21 (18:03:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/02 (17:34:40) | ===> btop++ v.1.3.2
2024/05/02 (17:34:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/04 (14:57:32) | ===> btop++ v.1.3.2
2024/05/04 (14:57:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/05/13 (15:30:23) | ===> btop++ v.1.3.2
2024/05/13 (15:30:23) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/05/20 (01:26:11) | ===> btop++ v.1.3.2
2024/05/20 (01:26:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
